,month,hourPerCounter
0,1,39.85275817250289
1,2,70.91295978640147
2,3,82.34366875407711
3,4,78.52451247748056
4,5,93.62494317774248
5,6,111.92904687527033
6,7,106.70994674708291
7,8,122.85084388829594
8,9,170.1975542644955
